form	lemma	POS	morph
༄༅། །		PUNCT
རྫོང་	རྫོང་	NOUN
གས་	གསའ་	NO_POS
ར་	ལ་	PART
དགོན་པ་	དགོན་པ་	NOUN
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
སྤྱི་		
མདོ་ཁམས་	མདོ་ཁམས་	OTHER
སྨད་	སྨད་	NOUN
དུ་	ལ་	PART
སྐྱི་	སྐྱི་	NO_POS
ཤོད་	ཤོད་	VERB
།		PUNCT
ཏྲེ་	ཏྲེ་	NO_POS
ཤོད་	ཤོད་	VERB
།		PUNCT
སྨད་	སྨད་	NOUN
ཤོད་	ཤོད་	VERB
།		PUNCT
རྟ་	རྟ་	NOUN
ཤོད་	ཤོད་	VERB
བཅའ་	བཅའ་	VERB
ཤོད་	ཤོད་	VERB
ཆེན་	ཆེན་	NO_POS
བཞི་	བཞི་	NUM
ར་	ལ་	PART
གྲགས་པ་	གྲགས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སྨད་	སྨད་	NOUN
ཤོད་	ཤོད་	VERB
དུ་	ལ་	PART
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ས་སྐྱ་	ས་སྐྱ་	PROPN
འི་	གི་	PART
དགོན་པ་	དགོན་པ་	NOUN
སྡེ་དགེ་	སྡེ་དགེ་	OTHER
འི་	གི་	PART
མངའ་འོག་	མངའ་འོག་	NO_POS
ཏུ་	ལ་	PART
ཉི་ཤུ་	ཉི་ཤུ་	NUM
རྩ་	རྩ་	NUM
ལྔ་	ལྔ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
ཨང་	ཨང་	NO_POS
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
སྔ་	སྔ་	NOUN
བེ་	བེ་	NO_POS
རི་རྒྱལ་པོ་	རི་རྒྱལ་པོ་	NO_POS
འི་	གི་	PART
རྫོང་	རྫོང་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
རྫོང་	རྫོང་	NOUN
གས་	གསའ་	NO_POS
ར་	ལ་	PART
ཞེ་	ཅེས་	PART
གྲག་	གྲག་	VERB
།		PUNCT
ཀོང་	ཀོང་	NO_POS
སྤྲུལ་	སྤྲུལ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ས་	གིས་	PART
དང་པོ་	དང་པོ་	ADJ
བཀའ་	བཀའ་	NOUN
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
གདན་ས་	གདན་ས་	NOUN
ཞིག་	ཅིག་	PART
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
གསུངས་	གསུངས་	VERB
།		PUNCT
ས་སྐྱ་	ས་སྐྱ་	PROPN
འི་	གི་	PART
འགྲོ་མགོན་	འགྲོ་མགོན་	NOUN
ཆོ་	ཆོ་	NOUN
འཕགས་	འཕགས་	VERB
བོད་	བོད་	PROPN
དུ་	ལ་	PART
ཕེབས་པ་	ཕེབས་པ་	VERB
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
སྨད་	སྨད་	NOUN
ཤོད་	ཤོད་	VERB
བཀྲ་	བཀྲ་	NO_POS
ཐང་	ཐང་	NOUN
དུ་	ལ་	PART
བཞུགས་སྒར་	བཞུགས་སྒར་	NO_POS
ཞག་	ཞག་	NOUN
གཅིག་	གཅིག་	NUM
མཛད་པ་	མཛད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
རྫོང་	རྫོང་	NOUN
གས་	གསའ་	NO_POS
ར་	ལ་	PART
དགོན་གནས་	དགོན་གནས་	NO_POS
དེ་	དེ་	DET
ར་	ལ་	PART
ས་སྐྱ་	ས་སྐྱ་	PROPN
འི་	གི་	PART
དགོན་པ་	དགོན་པ་	NOUN
ཞིག་	ཅིག་	PART
བཏབ་	བཏབ་	VERB
ན་	ན་	ADP
དགོས་པ་	དགོས་པ་	VERB
ཆེ་བ་	ཆེ་བ་	VERB
ར་	ལ་	PART
གཟིགས་	གཟིགས་	VERB
ན་	ནས་	PART
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
གྱི་	གི་	PART
རྟེན་	རྟེན་	NOUN
ཙནྡན་	ཙནྡན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ནང་	ནང་	NOUN
རྟེན་	རྟེན་	NOUN
དུ་	ལ་	PART
གནང་	གནང་	NO_POS
ན་	ནས་	PART
དགོན་པ་	དགོན་པ་	NOUN
